160.46.228.49 cmp-test.bmw.com
160.46.231.16 cpp-prod.bmw.com
74.220.199.6 cmcttrcperf-lvdc.bmw.com
74.220.199.6 cndmssmart.bmw.com
74.220.199.6 comm2-h.bmw.com
74.220.199.6 concorde.bmw.com
74.220.199.6 csde.bmw.com
74.220.199.6 delhi-high-profile-escorts.bmw.com
74.220.199.6 dev-futures-rest.bmw.com
